name,url
Java,/c101020100-p100101/
C++,/c101020100-p100102/
PHP,/c101020100-p100103/
数据挖掘,/c101020100-p100104/
C,/c101020100-p100105/
C#,/c101020100-p100106/
.NET,/c101020100-p100107/
Hadoop,/c101020100-p100108/
Python,/c101020100-p100109/
Delphi,/c101020100-p100110/
VB,/c101020100-p100111/
Perl,/c101020100-p100112/
Ruby,/c101020100-p100113/
Node.js,/c101020100-p100114/
搜索算法,/c101020100-p100115/
Golang,/c101020100-p100116/
自然语言处理,/c101020100-p100117/
推荐算法,/c101020100-p100118/
Erlang,/c101020100-p100119/
算法工程师,/c101020100-p100120/
语音/视频/图形开发,/c101020100-p100121/
数据采集,/c101020100-p100122/
HTML5,/c101020100-p100201/
Android,/c101020100-p100202/
iOS,/c101020100-p100203/
WP,/c101020100-p100204/
web前端,/c101020100-p100205/
Flash,/c101020100-p100206/
JavaScript,/c101020100-p100208/
U3D,/c101020100-p100209/
COCOS2DX,/c101020100-p100210/
测试工程师,/c101020100-p100301/
自动化测试,/c101020100-p100302/
功能测试,/c101020100-p100303/
性能测试,/c101020100-p100304/
测试开发,/c101020100-p100305/
移动端测试,/c101020100-p100306/
游戏测试,/c101020100-p100307/
硬件测试,/c101020100-p100308/
软件测试,/c101020100-p100309/
运维工程师,/c101020100-p100401/
运维开发工程师,/c101020100-p100402/
网络工程师,/c101020100-p100403/
系统工程师,/c101020100-p100404/
IT技术支持,/c101020100-p100405/
系统管理员,/c101020100-p100406/
网络安全,/c101020100-p100407/
系统安全,/c101020100-p100408/
DBA,/c101020100-p100409/
ETL工程师,/c101020100-p100506/
数据仓库,/c101020100-p100507/
数据开发,/c101020100-p100508/
数据挖掘,/c101020100-p100509/
数据分析师,/c101020100-p100511/
数据架构师,/c101020100-p100512/
算法研究员,/c101020100-p100513/
项目经理,/c101020100-p100601/
项目主管,/c101020100-p100602/
项目助理,/c101020100-p100603/
项目专员,/c101020100-p100604/
实施顾问,/c101020100-p100605/
实施工程师,/c101020100-p100606/
需求分析工程师,/c101020100-p100607/
硬件,/c101020100-p100801/
嵌入式,/c101020100-p100802/
自动化,/c101020100-p100803/
单片机,/c101020100-p100804/
电路设计,/c101020100-p100805/
驱动开发,/c101020100-p100806/
系统集成,/c101020100-p100807/
FPGA开发,/c101020100-p100808/
DSP开发,/c101020100-p100809/
ARM开发,/c101020100-p100810/
PCB工艺,/c101020100-p100811/
模具设计,/c101020100-p100812/
热传导,/c101020100-p100813/
材料工程师,/c101020100-p100814/
精益工程师,/c101020100-p100815/
射频工程师,/c101020100-p100816/
web前端,/c101020100-p100901/
Javascript,/c101020100-p100902/
Flash,/c101020100-p100903/
HTML5,/c101020100-p100904/
通信技术工程师,/c101020100-p101001/
通信研发工程师,/c101020100-p101002/
数据通信工程师,/c101020100-p101003/
移动通信工程师,/c101020100-p101004/
电信网络工程师,/c101020100-p101005/
电信交换工程师,/c101020100-p101006/
有线传输工程师,/c101020100-p101007/
无线射频工程师,/c101020100-p101008/
通信电源工程师,/c101020100-p101009/
通信标准化工程师,/c101020100-p101010/
通信项目专员,/c101020100-p101011/
通信项目经理,/c101020100-p101012/
核心网工程师,/c101020100-p101013/
通信测试工程师,/c101020100-p101014/
