star,release_time,score,name,pic
"
                主演：张国荣,张丰毅,巩俐
        ",上映时间：1993-01-01(中国香港),9.6,霸王别姬,http://p1.meituan.net/movie/20803f59291c47e1e116c11963ce019e68711.jpg@160w_220h_1e_1c
"
                主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿
        ",上映时间：1994-10-14(美国),9.5,肖申克的救赎,http://p0.meituan.net/movie/__40191813__4767047.jpg@160w_220h_1e_1c
"
                主演：格利高利·派克,奥黛丽·赫本,埃迪·艾伯特
        ",上映时间：1953-09-02(美国),9.1,罗马假日,http://p0.meituan.net/movie/23/6009725.jpg@160w_220h_1e_1c
"
                主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼
        ",上映时间：1994-09-14(法国),9.5,这个杀手不太冷,http://p0.meituan.net/movie/fc9d78dd2ce84d20e53b6d1ae2eea4fb1515304.jpg@160w_220h_1e_1c
"
                主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩
        ",上映时间：1972-03-24(美国),9.3,教父,http://p0.meituan.net/movie/92/8212889.jpg@160w_220h_1e_1c
"
                主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩
        ",上映时间：1998-04-03,9.5,泰坦尼克号,http://p0.meituan.net/movie/11/324629.jpg@160w_220h_1e_1c
"
                主演：日高法子,坂本千夏,糸井重里
        ",上映时间：1988-04-16(日本),9.2,龙猫,http://p0.meituan.net/movie/99/678407.jpg@160w_220h_1e_1c
"
                主演：周星驰,巩俐,郑佩佩
        ",上映时间：1993-07-01(中国香港),9.2,唐伯虎点秋香,http://p0.meituan.net/movie/62/109878.jpg@160w_220h_1e_1c
"
                主演：柊瑠美,入野自由,夏木真理
        ",上映时间：2001-07-20(日本),9.3,千与千寻,http://p0.meituan.net/movie/9bf7d7b81001a9cf8adbac5a7cf7d766132425.jpg@160w_220h_1e_1c
"
                主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森
        ",上映时间：1940-05-17(美国),9.2,魂断蓝桥,http://p0.meituan.net/movie/12/8506449.jpg@160w_220h_1e_1c
"
                主演：周星驰,莫文蔚,张柏芝
        ",上映时间：1999-02-13(中国香港),9.2,喜剧之王,http://p0.meituan.net/movie/59/2366463.jpg@160w_220h_1e_1c
"
                主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰
        ",上映时间：1939-12-15(美国),9.1,乱世佳人,http://p0.meituan.net/movie/13/6960141.jpg@160w_220h_1e_1c
"
                主演：寺田农,鹫尾真知子,龟山助清
        ",上映时间：1992,9.1,天空之城,http://p0.meituan.net/movie/24/4495986.jpg@160w_220h_1e_1c
"
                主演：邱岳峰,毕克,富润生
        ",上映时间：1965-12-31,9.0,大闹天宫,http://p1.meituan.net/movie/__40531360__1435186.jpg@160w_220h_1e_1c
"
                主演：连姆·尼森,拉尔夫·费因斯,本·金斯利
        ",上映时间：1993-12-15(美国),9.2,辛德勒的名单,http://p0.meituan.net/movie/88/6673874.jpg@160w_220h_1e_1c
"
                主演：朱丽·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克
        ",上映时间：1965-03-02(美国),9.0,音乐之声,http://p0.meituan.net/movie/76/8189714.jpg@160w_220h_1e_1c
"
                主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特
        ",上映时间：1990-12-06(美国),8.8,剪刀手爱德华,http://p0.meituan.net/movie/20/567725.jpg@160w_220h_1e_1c
"
                主演：张国荣,梁朝伟,张震
        ",上映时间：1997-05-30(中国香港),9.2,春光乍泄,http://p0.meituan.net/movie/18/6251213.jpg@160w_220h_1e_1c
"
                主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼
        ",上映时间：1997-12-20(意大利),9.3,美丽人生,http://p0.meituan.net/movie/5bef87296178cc0c0946f9c352ca267a119592.jpg@160w_220h_1e_1c
"
                主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩
        ",上映时间：2000-01-14,9.0,黑客帝国,http://p0.meituan.net/movie/93/7071610.jpg@160w_220h_1e_1c
"
                主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩
        ",上映时间：1998-10-28(意大利),9.2,海上钢琴师,http://p0.meituan.net/movie/37/4457598.jpg@160w_220h_1e_1c
"
                主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆
        ",上映时间：2003-11-21,8.9,加勒比海盗,http://p0.meituan.net/movie/88/3864695.jpg@160w_220h_1e_1c
"
                主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒
        ",上映时间：2004-03-15,9.2,指环王3：王者无敌,http://p0.meituan.net/movie/5ab34fd790f2970512ee7668cf73f04f110032.jpg@160w_220h_1e_1c
"
                主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森
        ",上映时间：2002-01-26,9.1,哈利·波特与魔法石,http://p1.meituan.net/movie/aacb9ed2a6601bfe515ef0970add1715623792.jpg@160w_220h_1e_1c
